product_category_name_english,nbCommandes,prixMoyen,fraisMoyen,nbVendeurs,numCluster
art,209,115.80210526315776,19.354880382775125,36,0
flowers,33,33.63757575757576,14.814242424242424,3,6
home_construction,604,137.56311258278154,22.90105960264901,68,11
fashion_male_clothing,132,81.80166666666666,16.306136363636362,13,13
kitchen_dining_laundry_garden_furniture,281,164.86964412811383,42.70259786476869,52,8
small_appliances,679,280.7784683357879,23.593888070692184,105,5
la_cuisine,14,146.785,23.825,2,6
bed_bath_table,11115,93.29632748538005,18.415928025191086,196,1
signaling_and_security,199,108.08658291457284,32.70261306532664,46,8
computers,203,1098.340541871921,48.45467980295568,9,9
office_furniture,1691,162.01105854524016,40.55112359550564,34,0
watches_gifts,5991,201.1359839759655,16.781160073443463,101,5
auto,4235,139.95752302243034,21.88056906729629,383,12
fashion_bags_accessories,2031,75.24546528803586,15.484982767109841,99,5
construction_tools_lights,304,135.13157894736838,24.94671052631578,37,0
cool_stuff,3796,167.3579689146461,22.13885669125394,267,10
cds_dvds_musicals,14,52.142857142857146,16.070714285714292,1,6
food,510,57.634137254901795,14.256921568627448,58,11
computers_accessories,7827,116.51390315574176,18.821781014437146,287,10
perfumery,3419,116.73731207955467,15.85663644340456,175,1
pet_shop,1947,110.07468412942987,20.319075500770424,137,7
stationery,2517,91.75336909018681,18.59295987286452,173,1
furniture_decor,8334,87.5644936405069,20.728257739380744,370,3
drinks,379,59.17862796833764,15.148416886543526,36,0
construction_tools_safety,194,208.99237113402057,20.201546391752576,35,0
telephony,4545,71.21397799780064,15.669040704070294,149,7
home_confort,434,134.9586175115209,19.588087557603693,20,13
furniture_mattress_and_upholstery,38,114.94947368421053,42.906842105263166,5,9
agro_industry_and_commerce,212,342.12485849056606,27.56415094339622,34,0
party_supplies,43,104.30651162790699,19.255116279069764,12,13
cine_photo,72,96.29805555555556,17.44722222222222,14,13
books_technical,267,71.52082397003745,16.041423220973783,26,0
home_appliances_2,238,476.1249579831935,44.53857142857143,46,8
music,38,158.79868421052632,18.171315789473685,19,13
costruction_tools_garden,238,108.0499579831932,22.316806722689066,33,0
christmas_supplies,153,57.52169934640524,21.10653594771242,17,13
audio,364,139.25412087912088,15.688021978021974,36,0
fashio_female_clothing,48,58.40916666666666,12.953125,11,13
air_conditioning,297,185.2692255892255,22.724680134680128,52,8
market_place,311,91.24909967845653,17.543601286173626,59,11
health_beauty,9670,130.16353050672333,18.87970320579105,492,2
fashion_shoes,262,89.93423664122125,18.77431297709923,15,13
fashion_underwear_beach,131,72.83625954198476,14.62740458015267,9,6
housewares,6964,90.78814761631097,20.98637421022396,468,2
costruction_tools_tools,103,154.40728155339795,19.71087378640776,24,0
home_appliances,771,103.98382619974075,19.22036316472113,48,8
furniture_living_room,503,137.01105367793252,35.72200795228626,56,8
arts_and_craftmanship,24,75.58375000000001,15.422083333333333,13,13
fixed_telephony,264,225.69318181818196,17.56746212121212,49,8
electronics,2767,57.91353089989208,16.83350921575716,149,7
diapers_and_hygiene,39,40.19461538461539,14.709743589743592,8,6
books_imported,60,77.33083333333335,12.830833333333333,7,6
baby,3065,134.3441729200645,22.301177814029348,244,4
home_comfort_2,30,25.342333333333325,13.676999999999998,4,6
fashion_childrens_clothes,8,71.23125,11.938749999999999,4,6
luggage_accessories,1092,128.59888278388317,27.880247252747242,73,11
small_appliances_home_oven_and_coffee,76,624.2856578947369,36.15605263157894,15,9
food_drink,278,54.60244604316544,16.21579136690647,34,0
furniture_bedroom,109,183.75027522935773,42.49752293577981,23,9
fashion_sport,30,70.65033333333332,19.271,10,13
tablets_printing_image,83,90.70373493975906,14.773493975903618,6,6
toys,4117,117.548360456642,18.80640029147436,252,4
consoles_games,1137,138.4918381706246,17.438891820580533,82,11
garden_tools,4347,111.63019553715023,22.7657579940187,237,4
sports_leisure,8641,114.34428538363588,19.512499710681574,481,2
industry_commerce_and_business,268,148.02093283582084,29.420447761194023,29,0
security_and_services,2,141.64499999999998,20.61,2,6
books_general_interest,553,84.7321518987341,16.6284267631103,54,8
construction_tools_construction,929,155.73475780409058,22.228643702906353,128,7
dvds_blu_ray,64,93.74046875000002,20.1365625,10,13
musical_instruments,680,281.61600000000027,27.409544117647076,70,11
