Etat,montantMoyenVersementEtatCarte
Santa Catarina,177.5836232952452
Mato Grosso do Sul,205.32842003853563
Goiás,177.3886776315789
Mato Grosso,219.9876479514417
Ceará,209.93724106324464
Espírito Santo,158.39178639542283
Piauí,225.03341902313633
Paraná,165.50627047015325
Alagoas,235.44730205278591
Bahia,187.41815552216386
Roraima,221.92393939393938
Pernambuco,200.60662668665674
Amazonas,186.70943548387098
Rio Grande do Sul,166.26132747804274
Acre,239.7608196721311
Rio Grande do Norte,206.70502538071074
Paraïba,250.10399532710278
District fédéral,171.7427235294117
Sergipe,213.22575757575754
São Paulo,145.3824403133554
Rio de Janeiro,168.19019051321874
Minas Gerais,162.29055237045162
Rondônia,232.88473118279572
Maranhão,203.86472897196268
Tocantins,232.78847715736038
Pará,228.26596153846154
Amapá,259.5536170212766
