Etat,noteMoyenneEtat
Santa Catarina,4.055875102711586
Mato Grosso do Sul,4.115702479338843
Goiás,4.026018654884634
Mato Grosso,4.087912087912088
Ceará,3.8379387602688575
Espírito Santo,4.009789525208028
Piauí,3.907258064516129
Paraná,4.167654028436019
Alagoas,3.7314148681055155
Bahia,3.8343143025309003
Roraima,3.608695652173913
Pernambuco,3.9933933933933936
Amazonas,4.154362416107382
Rio Grande do Sul,4.125658253132377
Acre,4.049382716049383
Rio Grande do Norte,4.075975359342916
Paraïba,4.007448789571694
District fédéral,4.056018518518519
Sergipe,3.8
São Paulo,4.160578549812948
Rio de Janeiro,3.8534416086620262
Minas Gerais,4.121049034683068
Rondônia,4.055335968379446
Maranhão,3.745672436750999
Tocantins,4.1
Pará,3.827902240325866
Amapá,4.176470588235294
