Etat,nbCommandes,prixMoyenProduits,fraisMoyen,noteMoyenneEtat,nbVendeurs,nbVersementsMoyenEtatCarte,montantMoyenVersementEtatCarte,delaiLivraisonMoyenJ,delaiLogistiqueMoyenJ,nbVendeursParCommande
São Paulo,41746,125.75117945618307,17.37095033232654,4.160578549812948,1849,3.1995461328027854,145.3824403133554,8.763632780731447,3.1699853492370957,0.0442916686628659
Rio de Janeiro,12852,142.93156793606235,23.945252311549993,3.8534416086620262,171,3.583884136858476,168.19019051321877,15.317506782050726,3.3100317484455264,0.01330532212885154
Minas Gerais,11635,137.32744542619727,23.462704435204504,4.121049034683068,244,3.6448732083792725,162.29055237045168,12.019557180338234,3.243851520317754,0.020971207563386333
Rio Grande do Sul,5466,138.1266605301896,24.948958026509512,4.125658253132377,129,3.8052697616060227,166.26132747804286,15.31917690476936,3.2289967332784135,0.023600439077936335
Paraná,5045,136.67142056822567,23.5797679071628,4.167654028436019,349,3.5763338615953515,165.50627047015323,12.002055423132319,3.216080717385238,0.06917740336967294
Santa Catarina,3637,144.1177574750819,24.822884828349892,4.055875102711586,190,3.582381127902691,177.58362329524522,14.973612993207427,3.333321553046963,0.05224085784987627
Bahia,3380,152.27813877307818,29.8262894580108,3.8343143025309003,19,3.9673178061607812,187.41815552216386,19.33242650765575,3.301816819895875,0.005621301775147929
District fédéral,2140,142.40185411764705,23.823764705882358,4.056018518518519,30,3.2341176470588233,171.74272352941173,12.976923731477022,3.1683377746126,0.014018691588785047
Espírito Santo,2033,135.82089382716043,24.575111111111116,4.009789525208028,23,3.66624284806103,158.3917863954228,15.806195405750156,3.3928134310466813,0.01131333005410723
Goiás,2020,146.78223716990527,26.464862979571514,4.026018654884634,40,3.713157894736842,177.3886776315789,15.626609282751483,3.178310375021356,0.019801980198019802
Pernambuco,1652,159.4587560679611,36.073822815533944,3.9933933933933936,9,4.229385307346327,200.6066266866567,18.448897525823572,3.2797434292411105,0.005447941888619854
Ceará,1336,171.25449133383586,36.43676714393364,3.8379387602688575,13,4.188817598533456,209.93724106324456,21.271784037558685,3.3362547546078956,0.009730538922155689
Pará,975,184.4822783505157,39.89618556701029,3.827902240325866,1,4.059065934065934,228.26596153846154,23.781193219674716,3.489681780325297,0.0010256410256410256
Mato Grosso,907,173.25972314507217,32.90745293466225,4.087912087912088,4,3.974203338391502,219.9876479514417,18.08994306027432,3.1583406736294637,0.004410143329658214
Maranhão,747,161.6867837837841,42.59968918918917,3.745672436750999,1,3.986915887850467,203.8647289719626,21.60730103615519,3.617953544843865,0.0013386880856760374
Mato Grosso do Sul,715,164.75689703808206,27.0014527503526,4.115702479338843,5,3.703275529865125,205.32842003853563,15.642631239071697,3.1745821245959815,0.006993006993006993
Paraïba,536,216.66932330827092,48.34535714285713,4.007448789571694,6,4.675233644859813,250.10399532710275,20.425961677949704,3.502867236191704,0.011194029850746268
Piauí,495,176.29630831643027,43.03894523326572,3.907258064516129,1,4.280205655526992,225.03341902313633,19.504833974434256,3.1981864918565495,0.00202020202020202
Rio Grande do Norte,485,172.2717427385894,39.128838174273874,4.075975359342916,5,4.393401015228426,206.70502538071074,19.277189258087205,3.594148060243789,0.010309278350515464
Alagoas,413,195.4131630170318,38.721630170316296,3.7314148681055155,"",4.407624633431085,235.4473020527859,24.54259591613023,3.4583077362627117,""
Sergipe,350,170.78507246376813,40.90281159420291,3.8,2,4.579545454545454,213.2257575757575,21.54651058993125,3.584850022177866,0.005714285714285714
Tocantins,280,177.8556989247311,42.05261648745521,4.1,"",4.025380710659898,232.7884771573604,17.694485610839774,3.414342821530322,""
Rondônia,253,186.8042105263157,46.22421052631579,4.055335968379446,2,4.408602150537634,232.8847311827957,19.37049330323121,2.8490072969059597,0.007905138339920948
Amazonas,148,152.08734693877545,37.27136054421769,4.154362416107382,1,3.8225806451612905,186.70943548387098,26.42282998084291,2.9061807950191576,0.006756756756756757
Acre,81,197.32037037037034,45.51543209876543,4.049382716049383,1,4.524590163934426,239.7608196721311,21.035192129629632,3.4790462962962962,0.012345679012345678
Amapá,68,198.15147058823527,41.00735294117647,4.176470588235294,"",3.404255319148936,259.5536170212766,27.18195826423438,3.5209221254836933,""
Roraima,46,170.205,48.59108695652174,3.608695652173913,"",3.4242424242424243,221.92393939393938,29.3824647131888,3.743370313911472,""
