Etat,delaiLivraisonMoyenJ,delaiLogistiqueMoyenJ
Santa Catarina,14.973612993207427,3.333321553046963
Mato Grosso do Sul,15.642631239071697,3.1745821245959815
Goiás,15.626609282751483,3.178310375021356
Mato Grosso,18.08994306027432,3.1583406736294637
Ceará,21.271784037558685,3.3362547546078956
Espírito Santo,15.806195405750156,3.3928134310466813
Piauí,19.504833974434256,3.1981864918565495
Paraná,12.002055423132319,3.216080717385238
Alagoas,24.54259591613023,3.4583077362627117
Bahia,19.33242650765575,3.301816819895875
Roraima,29.3824647131888,3.743370313911472
Pernambuco,18.448897525823572,3.2797434292411105
Amazonas,26.42282998084291,2.9061807950191576
Rio Grande do Sul,15.31917690476936,3.2289967332784135
Acre,21.035192129629632,3.4790462962962962
Rio Grande do Norte,19.277189258087205,3.594148060243789
Paraïba,20.425961677949704,3.502867236191704
District fédéral,12.976923731477022,3.1683377746126
Sergipe,21.54651058993125,3.584850022177866
São Paulo,8.763632780731447,3.1699853492370957
Rio de Janeiro,15.317506782050726,3.3100317484455264
Minas Gerais,12.019557180338234,3.243851520317754
Rondônia,19.37049330323121,2.8490072969059597
Maranhão,21.60730103615519,3.617953544843865
Tocantins,17.694485610839774,3.414342821530322
Pará,23.781193219674716,3.489681780325297
Amapá,27.18195826423438,3.5209221254836933
