Etat,prixMoyenProduits,fraisMoyen
Paraïba,216.66932330827092,48.34535714285713
Amapá,198.15147058823527,41.00735294117647
Acre,197.32037037037034,45.51543209876543
Alagoas,195.4131630170318,38.721630170316296
Rondônia,186.8042105263157,46.22421052631579
Pará,184.4822783505157,39.89618556701029
Tocantins,177.8556989247311,42.05261648745521
Piauí,176.29630831643027,43.03894523326572
Mato Grosso,173.25972314507217,32.90745293466225
Rio Grande do Norte,172.2717427385894,39.128838174273874
Ceará,171.25449133383586,36.43676714393364
Sergipe,170.78507246376813,40.90281159420291
Roraima,170.205,48.59108695652174
Mato Grosso do Sul,164.75689703808206,27.0014527503526
Maranhão,161.6867837837841,42.59968918918917
Pernambuco,159.4587560679611,36.073822815533944
Bahia,152.27813877307818,29.8262894580108
Amazonas,152.08734693877545,37.27136054421769
Goiás,146.78223716990527,26.464862979571514
Santa Catarina,144.1177574750819,24.822884828349892
Rio de Janeiro,142.93156793606235,23.945252311549993
District fédéral,142.40185411764705,23.823764705882358
Rio Grande do Sul,138.1266605301896,24.948958026509512
Minas Gerais,137.32744542619727,23.462704435204504
Paraná,136.67142056822567,23.5797679071628
Espírito Santo,135.82089382716043,24.575111111111116
São Paulo,125.75117945618307,17.37095033232654
