product_category_name_english,nbCommandes,prixMoyen,fraisMoyen,nbCommandes-normalisé,prixMoyen-normalisé,fraisMoyen-normalisé,prediction
bed_bath_table,11115,93.29632748538016,18.415928025191185,1.1794354838709677,0.6514085290511392,0.7346933918255565,1
health_beauty,9670,130.16353050672177,18.8797032057911,1.0261035653650254,0.9088207031168888,0.7531954493929717,1
sports_leisure,8641,114.3442853836361,19.51249971068163,0.9169142614601019,0.79836843265701,0.7784405203922408,1
furniture_decor,8334,87.5644936405088,20.72825773938085,0.8843378607809848,0.6113880314143134,0.826942523034864,1
computers_accessories,7827,116.51390315574294,18.821781014437203,0.8305390492359932,0.813517019526657,0.7508846751995912,1
housewares,6964,90.7881476163124,20.986374210224,0.7389643463497453,0.6338960523744861,0.8372399386845338,1
watches_gifts,5991,201.13598397596402,16.781160073443505,0.6357173174872666,1.4043606966369364,0.6694752171197096,5
telephony,4545,71.21397799779974,15.669040704070392,0.4822792869269949,0.49722635290972517,0.6251078221949486,3
garden_tools,4347,111.63019553715209,22.765757994018866,0.4612691001697793,0.7794182625671119,0.9082274830367588,0
auto,4235,139.957523022432,21.880569067296335,0.44938455008488964,0.9772037834605007,0.8729133541972783,0
toys,4117,117.5483604566432,18.806400291474368,0.43686332767402375,0.8207397508699807,0.7502710696562357,0
cool_stuff,3796,167.35796891464693,22.13885669125395,0.4028013582342954,1.168517682250247,0.8832175979069848,0
perfumery,3419,116.7373120795554,15.856636443404499,0.36279711375212226,0.815076893128974,0.6325918517716752,4
baby,3065,134.34417292006538,22.301177814029366,0.3252334465195246,0.9380105565480618,0.8896933104582976,0
electronics,2767,57.913530899891576,16.83350921575714,0.2936120543293718,0.4043606966369363,0.6715636575650107,3
stationery,2517,91.75336909018671,18.592959872864515,0.26708404074702885,0.6406353691027203,0.7417559807133035,4
fashion_bags_accessories,2031,75.24546528803546,15.484982767109802,0.21551358234295415,0.5253747835757911,0.6177649313119579,3
pet_shop,1947,110.0746841294298,20.31907550077041,0.20660016977928694,0.7685574556593006,0.8106184210755027,4
office_furniture,1691,162.0110585452394,40.551123595505615,0.17943548387096775,1.1311847763086937,1.6177649313119578,2
