Etat,nbVersementsMoyenEtatCarte
Santa Catarina,3.582381127902691
Mato Grosso do Sul,3.703275529865125
Goiás,3.713157894736842
Mato Grosso,3.974203338391502
Ceará,4.188817598533456
Espírito Santo,3.66624284806103
Piauí,4.280205655526992
Paraná,3.5763338615953515
Alagoas,4.407624633431085
Bahia,3.9673178061607812
Roraima,3.4242424242424243
Pernambuco,4.229385307346327
Amazonas,3.8225806451612905
Rio Grande do Sul,3.8052697616060227
Acre,4.524590163934426
Rio Grande do Norte,4.393401015228426
Paraïba,4.675233644859813
District fédéral,3.2341176470588233
Sergipe,4.579545454545454
São Paulo,3.1995461328027854
Rio de Janeiro,3.583884136858476
Minas Gerais,3.6448732083792725
Rondônia,4.408602150537634
Maranhão,3.986915887850467
Tocantins,4.025380710659898
Pará,4.059065934065934
Amapá,3.404255319148936
